postal_code,pct
1980,11.996910666781087
1981,11.996910666781087
1982,11.996910666781087
2000,17.26532612177977
2018,17.26532612177977
2020,17.26532612177977
2030,17.26532612177977
2040,17.26532612177977
2050,17.26532612177977
2060,17.26532612177977
2070,10.564880735851997
2100,17.26532612177977
2110,18.391253416634125
2140,17.26532612177977
2150,7.892392659896669
2160,17.373492147788482
2170,17.26532612177977
2180,17.26532612177977
2200,16.056931997891407
2220,11.391475891177686
2221,11.391475891177686
2222,11.391475891177686
2223,11.391475891177686
2230,10.006109564863214
2235,11.240530303030303
2240,17.00576981475858
2242,17.00576981475858
2243,17.00576981475858
2250,12.192020346526784
2260,10.656709340919868
2270,10.627759233336922
2275,10.864093959731544
2280,14.175843384023773
2288,14.175843384023773
2290,10.113480483850855
2300,11.144656258086776
2310,11.611489776046739
2320,11.546015071934232
2321,11.546015071934232
2322,11.546015071934232
2323,11.546015071934232
2328,11.546015071934232
2330,10.871818495911551
2340,11.829361192730438
2350,9.986154378677742
2360,12.067768365504792
2370,10.483567722042567
2380,14.699535735303733
2381,14.699535735303733
2382,14.699535735303733
2387,7.073740407073741
2390,14.407209951764408
2400,11.25
2430,7.944606413994169
2431,7.944606413994169
2440,13.65867885092111
2450,10.742834860596608
2460,11.99582027168234
2470,10.357540941438739
2480,10.179640718562874
2490,9.595652173913043
2491,9.595652173913043
2500,13.656222359216274
2520,12.558091500568006
2530,13.158086361319448
2531,13.158086361319448
2540,13.692696426422813
2547,10.031567870922483
2550,24.025304592314903
2560,10.20680166817146
2570,11.575689364096792
2580,12.788168769030014
2590,12.395566922421143
2600,17.26532612177977
2610,17.26532612177977
2620,9.744327802235016
2627,15.888173032673722
2630,18.672142368240934
2640,14.800106915117034
2650,13.168944876261948
2660,17.26532612177977
2800,16.8444526185112
2801,16.8444526185112
2811,16.8444526185112
2812,16.8444526185112
2820,15.62765193550493
2830,8.583612771541041
2840,12.521305886980464
2845,11.156205757432751
2850,8.894435004248088
2860,14.665046047403113
2861,14.665046047403113
2870,13.64068260423397
2880,14.408074447891106
2890,13.64068260423397
2900,14.910560060895278
2910,9.487616979473657
2920,13.290578236612962
2930,16.209430656170724
2940,9.26418911723991
2950,13.31535602361344
2960,12.155392628470956
2970,20.303529529229696
2980,13.294797687861271
2990,9.659434093760163
3000,18.584451660863103
3001,18.584451660863103
3010,18.584451660863103
3012,18.584451660863103
3018,18.584451660863103
3020,14.061524743646903
3040,11.829889188379754
3050,12.528334786399304
3051,12.528334786399304
3052,12.528334786399304
3053,12.528334786399304
3054,12.528334786399304
3060,9.631507116396959
3061,9.631507116396959
3070,11.030202326263318
3071,11.030202326263318
3078,11.030202326263318
3080,7.544197444424995
3090,10.811959208899877
3110,13.623221926679774
3111,13.623221926679774
3118,13.623221926679774
3120,11.95523370638578
3128,11.95523370638578
